Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,43.88768653,45.06450043,48.52131417,49.91773243,52.6,60.25653543
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,9,16,30,36.74474744,37.31205037,39.36299738
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,18.88574127,..,..,..,..,..,..,36,37,37.4,37.6,..,..,..,77.70142968
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77,71.2,90
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,0.725251167,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.65625161,59.82554766
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,5,6,6.55,7.14
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burundi,BDI,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.4,2,2.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cabo Verde,CPV,..,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26,42.68301416,50.32281787
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cambodia,KHM,..,0.005844911,0.016324986,0.031969578,0.04702264,0.076956056,0.226983238,0.260570198,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6,14,18,32.39845171
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cameroon,CMR,..,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223,18.3,20.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Canada,CAN,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,38.03438308,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79
Individuals using the Internet (% of population),IT.NET.USER.ZS,Central African Republic,CAF,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,2.4,2.5,2.7,2.9,3.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chad,TCD,..,0.000658168,0.004268504,0.012321728,0.035707076,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Chile,CHL,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,76.62959195,83.55858602
Individuals using the Internet (% of population),IT.NET.USER.ZS,China,CHN,0.013081692,0.032394861,0.168540297,0.708187957,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,Colombia,COL,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357
Individuals using the Internet (% of population),IT.NET.USER.ZS,Comoros,COM,..,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Dem. Rep.",COD,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Congo, Rep.",COG,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323
Individuals using the Internet (% of population),IT.NET.USER.ZS,Costa Rica,CRI,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,65.88044919
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,4.4,6.6,10,16.7,41.20781493
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,0.858982368,1.729609312,3.273220279,4.405359119,6.644882544,11.55857318,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.84503592,72.69726967
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.85551074
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.71574092,75.9002054
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czechia,CZE,1.940378193,2.915698695,3.895906065,6.832802018,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.4811987
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,5.714987841,11.38200494,22.66874615,30.59204065,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.33050162,96.96778525
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,9.4,12.7,17,22.9,30.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,1.165518146,..,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,63.87086474
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,0.086389581,0.256960679,0.425253672,0.845428741,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,..,0.041462292,0.094423774,0.097415945,0.132354665,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.3199999,23.7799999
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0,0.009017718,0.008774236,0.025495028,0.136711941,0.157815289,0.227090138,..,..,..,..,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,3.525111129,5.706276548,10.79603483,14.50089724,28.57695381,31.52748977,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4097035,87.24023275
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,0.050399009,0.088545986,0.096099605,0.4707176,0.926191777,1.28159005,1.816203807,2.437073851,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,25,25.64304231,28.57
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,0.001703448,0.00496672,0.009663517,0.012541599,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,95.10868167
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,0.064437142,0.223454842,0.633167865,0.942462063,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4,42.5,49.42
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,16.78007526,19.4586828,25.45252493,32.29509229,37.24846174,43.10536335,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996
